# RANKING DE NODOS PARA ETIQUETA: containerOf
# Total de nodos con conexiones salientes: 12617
# Formato: Posición,NodeID,Conexiones_Salientes
# Generado automáticamente desde: MillenniumDB/data/ldbc/01/edges.txt
# ============================================================

1,f12455,218
2,f12050,178
3,f5222,147
4,f4999,137
5,f5090,131
6,f4592,127
7,f6100,126
8,f4529,122
9,f7852,118
10,f5480,111
11,f3511,108
12,f13589,107
13,f1241,103
14,f3735,92
15,f5426,92
16,f8594,87
17,f4183,86
18,f5482,84
19,f7723,80
20,f6125,79
21,f4312,75
22,f5811,74
23,f12891,73
24,f6437,71
25,f6589,70
26,f2869,69
27,f4843,69
28,f6436,68
29,f4061,65
30,f9297,65
31,f5683,63
32,f6435,63
33,f8053,63
34,f13398,63
35,f3130,62
36,f11008,61
37,f382,58
38,f2777,58
39,f3279,58
40,f5001,58
41,f12180,58
42,f2468,57
43,f4526,57
44,f5705,56
45,f5953,56
46,f12482,56
47,f3426,55
48,f4597,55
49,f5054,55
50,f10220,55
51,f10406,55
52,f4184,54
53,f5778,54
54,f13429,54
55,f2466,53
56,f4560,53
57,f7147,53
58,f10761,53
59,f12019,53
60,f4282,52
61,f3455,51
62,f4029,51
63,f2972,50
64,f3358,49
65,f7092,49
66,f7124,49
67,f3328,48
68,f12893,48
69,f10541,47
70,f12201,47
71,f2293,46
72,f2494,46
73,f3817,46
74,f4967,46
75,f9673,46
76,f2680,45
77,f5615,45
78,f1111,44
79,f1963,44
80,f5844,44
81,f2544,43
82,f6680,43
83,f10252,43
84,f11971,43
85,f13114,43
86,f13331,43
87,f12919,42
88,f1270,41
89,f1374,41
90,f2068,41
91,f7304,41
92,f8623,41
93,f8700,41
94,f9451,41
95,f11776,41
96,f3705,40
97,f6075,40
98,f9191,40
99,f384,39
100,f4719,39
101,f8792,39
102,f9740,39
103,f11037,39
104,f11332,39
105,f1085,38
106,f5254,38
107,f1350,37
108,f4969,37
109,f9805,37
110,f3327,36
111,f7063,36
112,f8653,36
113,f10187,36
114,f11205,36
115,f272,35
116,f1721,35
117,f567,34
118,f1612,34
119,f3223,34
120,f8237,34
121,f9511,34
122,f11185,34
123,f12832,34
124,f13198,34
125,f3252,33
126,f4420,33
127,f4896,33
128,f6708,33
129,f7527,33
130,f2868,32
131,f6034,32
132,f6469,32
133,f7145,32
134,f9038,32
135,f10517,32
136,f12315,32
137,f2372,31
138,f4364,31
139,f7123,31
140,f8561,31
141,f11685,31
142,f12314,31
143,f3606,30
144,f9271,30
145,f13470,30
146,f178,29
147,f1533,29
148,f5037,29
149,f5706,29
150,f7583,29
151,f10145,29
152,f10367,29
153,f11187,29
154,f12234,29
155,f12629,29
156,f139,28
157,f1796,28
158,f10891,28
159,f13116,28
160,f13650,28
161,f1780,27
162,f3002,27
163,f3733,27
164,f4715,27
165,f5707,27
166,f5742,27
167,f6847,27
168,f8622,27
169,f10440,27
170,f983,26
171,f1781,26
172,f2467,26
173,f3539,26
174,f3991,26
175,f4059,26
176,f4185,26
177,f7441,26
178,f7463,26
179,f8840,26
180,f11991,26
181,f12852,26
182,f2712,25
183,f3254,25
184,f4464,25
185,f6470,25
186,f9071,25
187,f10082,25
188,f11007,25
189,f3731,24
190,f4760,24
191,f5252,24
192,f5337,24
193,f7320,24
194,f7386,24
195,f10147,24
196,f11458,24
197,f11653,24
198,f12631,24
199,f303,23
200,f451,23
201,f2016,23
202,f3704,23
203,f4089,23
204,f6074,23
205,f6795,23
206,f7562,23
207,f12540,23
208,f13454,23
209,f664,22
210,f1408,22
211,f1633,22
212,f1719,22
213,f1924,22
214,f2655,22
215,f2826,22
216,f3251,22
217,f3959,22
218,f3992,22
219,f4225,22
220,f8021,22
221,f9387,22
222,f10083,22
223,f10116,22
224,f10250,22
225,f203,21
226,f723,21
227,f1862,21
228,f4138,21
229,f5272,21
230,f6736,21
