# RANKING DE NODOS PARA ETIQUETA: hasInterest
# Total de nodos con conexiones salientes: 1528
# Formato: Posición,NodeID,Conexiones_Salientes
# Generado automáticamente desde: MillenniumDB/data/ldbc/01/edges.txt
# ============================================================

1,p408,80
2,p732,80
3,p819,80
4,p867,80
5,p882,80
6,p1029,80
7,p1188,80
8,p23,79
9,p252,79
10,p503,79
11,p504,79
12,p541,79
13,p555,79
14,p768,79
15,p972,79
16,p1040,79
17,p1070,79
18,p1285,79
19,p1323,79
20,p246,78
21,p282,78
22,p473,78
23,p735,78
24,p751,78
25,p776,78
26,p797,78
27,p168,77
28,p207,77
29,p401,77
30,p1206,77
31,p1273,77
32,p1287,77
33,p1346,77
34,p1432,77
35,p249,76
36,p272,76
37,p752,76
38,p817,76
39,p13,75
40,p219,75
41,p724,75
42,p995,75
43,p1094,75
44,p1174,75
45,p1199,75
46,p52,74
47,p289,74
48,p589,74
49,p664,74
50,p676,74
51,p770,74
52,p811,74
53,p1412,74
54,p1521,74
55,p566,73
56,p720,73
57,p868,73
58,p1052,73
59,p1112,73
60,p1120,73
61,p320,72
62,p437,72
63,p673,72
64,p818,72
65,p936,72
66,p1142,72
67,p1146,72
68,p1215,72
69,p1235,72
70,p1342,72
71,p8,71
72,p897,71
73,p952,71
74,p1156,71
75,p1182,71
76,p1411,71
77,p0,70
78,p144,70
79,p706,70
80,p1036,70
81,p1348,70
82,p1357,70
83,p1436,70
84,p1510,70
85,p1527,70
86,p537,69
87,p715,69
88,p837,69
89,p890,69
90,p1452,69
91,p1506,69
92,p265,68
93,p377,68
94,p502,68
95,p691,68
96,p753,68
97,p864,68
98,p881,68
99,p887,68
100,p920,68
101,p1310,68
102,p1435,68
103,p340,67
104,p595,67
105,p791,67
106,p945,67
107,p1224,67
108,p1309,67
109,p1405,67
110,p27,66
111,p54,66
112,p81,66
113,p260,66
114,p360,66
115,p1306,66
116,p1462,66
117,p106,65
118,p150,65
119,p220,65
120,p476,65
121,p590,65
122,p687,65
123,p917,65
124,p1051,65
125,p1180,65
126,p1205,65
127,p383,64
128,p438,64
129,p700,64
130,p762,64
131,p794,64
132,p1060,64
133,p1354,64
134,p39,63
135,p332,63
136,p374,63
137,p379,63
138,p653,63
139,p1083,63
140,p1399,63
141,p1487,63
142,p1519,63
143,p1,62
144,p478,62
145,p709,62
146,p716,62
147,p861,62
148,p1362,62
149,p35,61
150,p122,61
151,p245,61
152,p306,61
153,p522,61
154,p553,61
155,p712,61
156,p798,61
157,p1074,61
158,p1280,61
159,p1375,61
160,p41,60
161,p91,60
162,p319,60
163,p392,60
164,p444,60
165,p448,60
166,p454,60
167,p547,60
168,p744,60
169,p1271,60
170,p1286,60
171,p1438,60
172,p1482,60
173,p76,59
174,p203,59
175,p662,59
176,p663,59
177,p722,59
178,p1028,59
179,p1398,59
180,p923,58
181,p987,58
182,p1085,58
183,p1369,58
184,p1384,58
185,p103,57
186,p136,57
187,p197,57
188,p213,57
189,p215,57
190,p226,57
191,p287,57
192,p397,57
193,p447,57
194,p771,57
195,p838,57
196,p1124,57
197,p1166,57
198,p1218,57
199,p209,56
200,p223,56
201,p413,56
202,p637,56
203,p787,56
204,p810,56
205,p1344,56
206,p1349,56
207,p1508,56
208,p108,55
209,p163,55
210,p656,55
211,p688,55
212,p779,55
213,p865,55
214,p872,55
215,p1057,55
216,p1150,55
217,p1475,55
218,p1492,55
219,p56,54
220,p271,54
221,p350,54
222,p359,54
223,p506,54
224,p561,54
225,p996,54
226,p1088,54
227,p1203,54
228,p1514,54
229,p165,53
230,p297,53
231,p321,53
232,p891,53
233,p916,53
234,p927,53
235,p970,53
236,p1473,53
237,p5,52
238,p148,52
239,p489,52
240,p524,52
241,p708,52
242,p767,52
243,p869,52
244,p1087,52
245,p1103,52
246,p1187,52
247,p1227,52
248,p1409,52
249,p123,51
250,p238,51
251,p274,51
252,p358,51
253,p421,51
254,p469,51
255,p500,51
256,p626,51
257,p669,51
258,p696,51
259,p1234,51
260,p1251,51
261,p1253,51
262,p12,50
263,p353,50
264,p357,50
265,p425,50
266,p802,50
267,p875,50
268,p1173,50
269,p1193,50
270,p1282,50
271,p117,49
272,p159,49
273,p745,49
274,p1148,49
275,p1279,49
276,p1293,49
277,p1304,49
278,p6,48
279,p206,48
280,p844,48
281,p1055,48
282,p1191,48
283,p1355,48
284,p1388,48
285,p299,47
286,p427,47
287,p645,47
288,p672,47
289,p889,47
290,p929,47
291,p1190,47
292,p1372,47
293,p1494,47
294,p68,46
295,p303,46
296,p318,46
297,p622,46
298,p828,46
299,p854,46
300,p978,46
301,p1095,46
302,p1104,46
303,p1108,46
304,p1294,46
305,p1333,46
306,p79,45
307,p118,45
308,p208,45
309,p487,45
310,p512,45
311,p519,45
312,p725,45
313,p772,45
314,p899,45
315,p912,45
316,p933,45
317,p935,45
318,p1049,45
319,p1090,45
320,p1164,45
321,p1272,45
322,p1322,45
323,p1392,45
324,p1437,45
325,p1497,45
326,p185,44
327,p305,44
328,p372,44
329,p465,44
330,p481,44
331,p545,44
332,p614,44
333,p641,44
334,p670,44
335,p702,44
336,p804,44
337,p813,44
338,p834,44
