# RANKING DE NODOS PARA ETIQUETA: hasMember
# Total de nodos con conexiones salientes: 11077
# Formato: Posición,NodeID,Conexiones_Salientes
# Generado automáticamente desde: MillenniumDB/data/ldbc/01/edges.txt
# ============================================================

1,f7562,340
2,f13532,338
3,f12455,269
4,f8653,256
5,f12050,230
6,f10480,211
7,f11205,189
8,f7563,154
9,f12473,151
10,f9511,149
11,f7564,147
12,f12458,146
13,f12480,143
14,f12457,142
15,f12460,142
16,f12479,138
17,f12472,135
18,f12464,134
19,f12477,134
20,f12465,133
21,f12481,130
22,f12462,128
23,f7565,127
24,f12071,124
25,f12475,124
26,f12466,123
27,f8660,122
28,f12476,119
29,f12478,119
30,f12056,118
31,f12062,118
32,f12077,118
33,f12459,118
34,f12074,117
35,f12468,116
36,f12072,115
37,f12075,115
38,f12469,115
39,f12471,115
40,f12064,114
41,f12076,114
42,f12063,111
43,f8655,110
44,f12070,110
45,f5545,109
46,f6589,109
47,f12053,109
48,f12463,109
49,f8659,108
50,f5426,107
51,f4592,106
52,f12068,106
53,f12069,106
54,f12456,106
55,f8661,105
56,f7568,104
57,f8658,104
58,f12067,103
59,f2712,100
60,f10998,100
61,f12051,100
62,f3328,97
63,f8657,97
64,f5222,96
65,f5480,96
66,f9451,96
67,f7569,95
68,f8656,95
69,f12052,94
70,f12057,94
71,f1924,93
72,f1963,93
73,f12061,93
74,f3279,91
75,f5037,91
76,f5054,91
77,f10059,91
78,f10543,91
79,f12054,91
80,f12059,91
81,f5811,90
82,f1210,88
83,f4183,88
84,f12467,87
85,f5812,86
86,f6100,86
87,f10541,86
88,f13589,86
89,f5482,85
90,f7304,85
91,f5777,84
92,f12180,84
93,f3828,83
94,f7567,83
95,f4312,82
96,f4999,82
97,f2972,81
98,f4029,81
99,f4997,81
100,f8749,81
101,f12073,81
102,f2016,80
103,f5254,79
104,f1780,78
105,f5090,78
106,f11210,78
107,f12055,78
108,f12060,77
109,f9038,75
110,f11213,75
111,f4526,74
112,f5844,74
113,f8623,74
114,f10406,74
115,f11971,74
116,f13116,74
117,f3358,73
118,f5683,73
119,f6795,73
120,f13429,73
121,f382,72
122,f4461,72
123,f6125,72
124,f1241,71
125,f2494,71
126,f3817,71
127,f7147,71
128,f9503,71
129,f10587,71
130,f171,70
131,f2466,70
132,f4420,70
133,f5953,70
134,f7852,70
135,f12066,70
136,f5912,69
137,f8654,69
138,f11211,69
139,f11206,68
140,f7267,67
141,f10484,67
142,f11208,67
143,f13650,67
