# RANKING DE NODOS PARA ETIQUETA: hasModerator
# Total de nodos con conexiones salientes: 13750
# Formato: Posición,NodeID,Conexiones_Salientes
# Generado automáticamente desde: MillenniumDB/data/ldbc/01/edges.txt
# ============================================================

1,f0,1
2,f1,1
3,f2,1
4,f3,1
5,f4,1
6,f5,1
7,f6,1
8,f7,1
9,f8,1
10,f9,1
11,f10,1
12,f11,1
13,f12,1
14,f13,1
15,f14,1
16,f15,1
17,f16,1
18,f17,1
19,f18,1
20,f19,1
21,f20,1
22,f21,1
23,f22,1
24,f23,1
25,f24,1
26,f25,1
27,f26,1
28,f27,1
29,f28,1
30,f29,1
31,f30,1
32,f31,1
33,f32,1
34,f33,1
35,f34,1
36,f35,1
37,f36,1
38,f37,1
39,f38,1
40,f39,1
41,f40,1
42,f41,1
43,f42,1
44,f43,1
45,f44,1
46,f45,1
47,f46,1
48,f47,1
49,f48,1
50,f49,1
51,f50,1
52,f51,1
53,f52,1
54,f53,1
55,f54,1
56,f55,1
57,f56,1
58,f57,1
59,f58,1
60,f59,1
61,f60,1
62,f61,1
63,f62,1
64,f63,1
65,f64,1
66,f65,1
67,f66,1
68,f67,1
69,f68,1
70,f69,1
71,f70,1
72,f71,1
73,f72,1
74,f73,1
75,f74,1
76,f75,1
77,f76,1
78,f77,1
79,f78,1
80,f79,1
81,f80,1
82,f81,1
83,f82,1
84,f83,1
85,f84,1
86,f85,1
87,f86,1
88,f87,1
89,f88,1
90,f89,1
91,f90,1
92,f91,1
93,f92,1
94,f93,1
95,f94,1
96,f95,1
97,f96,1
98,f97,1
99,f98,1
100,f99,1
101,f100,1
102,f101,1
103,f102,1
104,f103,1
105,f104,1
106,f105,1
107,f106,1
108,f107,1
109,f108,1
110,f109,1
111,f110,1
112,f111,1
113,f112,1
114,f113,1
115,f114,1
116,f115,1
117,f116,1
118,f117,1
119,f118,1
120,f119,1
121,f120,1
122,f121,1
123,f122,1
124,f123,1
125,f124,1
126,f125,1
127,f126,1
128,f127,1
129,f128,1
130,f129,1
131,f130,1
132,f131,1
133,f132,1
134,f133,1
135,f134,1
136,f135,1
137,f136,1
138,f137,1
139,f138,1
140,f139,1
141,f140,1
142,f141,1
143,f142,1
144,f143,1
145,f144,1
146,f145,1
147,f146,1
148,f147,1
149,f148,1
150,f149,1
151,f150,1
152,f151,1
153,f152,1
154,f153,1
155,f154,1
156,f155,1
157,f156,1
158,f157,1
159,f158,1
160,f159,1
161,f160,1
162,f161,1
163,f162,1
164,f163,1
165,f164,1
166,f165,1
167,f166,1
168,f167,1
169,f168,1
170,f169,1
171,f170,1
172,f171,1
173,f172,1
174,f173,1
175,f174,1
176,f175,1
177,f176,1
178,f177,1
179,f178,1
180,f179,1
181,f180,1
182,f181,1
183,f182,1
184,f183,1
185,f184,1
186,f185,1
187,f186,1
188,f187,1
189,f188,1
190,f189,1
191,f190,1
192,f191,1
193,f192,1
194,f193,1
195,f194,1
196,f195,1
197,f196,1
198,f197,1
199,f198,1
200,f199,1
201,f200,1
202,f201,1
203,f202,1
204,f203,1
205,f204,1
206,f205,1
207,f206,1
208,f207,1
209,f208,1
210,f209,1
211,f210,1
212,f211,1
213,f212,1
214,f213,1
215,f214,1
216,f215,1
217,f216,1
218,f217,1
219,f218,1
220,f219,1
221,f220,1
222,f221,1
223,f222,1
224,f223,1
225,f224,1
226,f225,1
227,f226,1
228,f227,1
229,f228,1
230,f229,1
231,f230,1
232,f231,1
233,f232,1
234,f233,1
235,f234,1
236,f235,1
237,f236,1
238,f237,1
239,f238,1
240,f239,1
241,f240,1
