# RANKING DE NODOS PARA ETIQUETA: hasTag
# Total de nodos con conexiones salientes: 79534
# Formato: Posición,NodeID,Conexiones_Salientes
# Generado automáticamente desde: MillenniumDB/data/ldbc/01/edges.txt
# ============================================================

1,f3816,80
2,f6794,80
3,f7347,80
4,f7724,80
5,f7911,80
6,f9363,80
7,f10583,80
8,f176,79
9,f2365,79
10,f4626,79
11,f4627,79
12,f4990,79
13,f5038,79
14,f7030,79
15,f8862,79
16,f9450,79
17,f9724,79
18,f11490,79
19,f11886,79
20,f2294,78
21,f2674,78
22,f4442,78
23,f6810,78
24,f6919,78
25,f7063,78
26,f7229,78
27,f1534,77
28,f1924,77
29,f3745,77
30,f10783,77
31,f11286,77
32,f11550,77
33,f12181,77
34,f12894,77
35,f2342,76
36,f2538,76
37,f6936,76
38,f7335,76
39,f136,75
40,f2038,75
41,f6680,75
42,f9069,75
43,f9878,75
44,f10516,75
45,f10715,75
46,f507,74
47,f2712,74
48,f5272,74
49,f6061,74
50,f6184,74
51,f7038,74
52,f7305,74
53,f12701,74
54,f13708,74
55,f5091,73
56,f6676,73
57,f7752,73
58,f9522,73
59,f10059,73
60,f10075,73
61,f3001,72
62,f4112,72
63,f6166,72
64,f7336,72
65,f8527,72
66,f10222,72
67,f10255,72
68,f10848,72
69,f11006,72
70,f12153,72
71,f123,71
72,f8133,71
73,f8700,71
74,f10336,71
75,f10556,71
76,f12690,71
77,f0,70
78,f1332,70
79,f6583,70
80,f9384,70
81,f12190,70
82,f12264,70
83,f12966,70
84,f13609,70
85,f13746,70
86,f4966,69
87,f6654,69
88,f7527,69
89,f8011,69
90,f13137,69
91,f13590,69
92,f2496,68
93,f3510,68
94,f4625,68
95,f6391,68
96,f6937,68
97,f7719,68
98,f7887,68
99,f7995,68
100,f8358,68
101,f11776,68
102,f12943,68
103,f3276,67
104,f5337,67
105,f7171,67
106,f8639,67
107,f10942,67
108,f11756,67
109,f12630,67
110,f204,66
111,f567,66
112,f800,66
113,f2466,66
114,f3423,66
115,f11711,66
116,f13197,66
117,f1002,65
118,f1365,65
119,f2039,65
120,f4460,65
121,f5286,65
122,f6354,65
123,f8345,65
124,f9519,65
125,f10543,65
126,f10763,65
127,f3585,64
128,f4113,64
129,f6513,64
130,f6988,64
131,f7174,64
132,f9593,64
133,f12235,64
134,f358,63
135,f3123,63
