# RANKING DE NODOS PARA ETIQUETA: hasType
# Total de nodos con conexiones salientes: 16080
# Formato: Posición,NodeID,Conexiones_Salientes
# Generado automáticamente desde: MillenniumDB/data/ldbc/01/edges.txt
# ============================================================

1,t0,1
2,t1,1
3,t2,1
4,t3,1
5,t4,1
6,t5,1
7,t6,1
8,t7,1
9,t8,1
10,t9,1
11,t10,1
12,t11,1
13,t12,1
14,t13,1
15,t14,1
16,t15,1
17,t16,1
18,t17,1
19,t18,1
20,t19,1
21,t20,1
22,t21,1
23,t22,1
24,t23,1
25,t24,1
26,t25,1
27,t26,1
28,t27,1
29,t28,1
30,t29,1
31,t30,1
32,t31,1
33,t32,1
34,t33,1
35,t34,1
36,t35,1
37,t36,1
38,t37,1
39,t38,1
40,t39,1
41,t40,1
42,t41,1
43,t42,1
44,t43,1
45,t44,1
46,t45,1
47,t46,1
48,t47,1
49,t48,1
50,t49,1
51,t50,1
52,t51,1
53,t52,1
54,t53,1
55,t54,1
56,t55,1
57,t56,1
58,t57,1
59,t58,1
60,t59,1
61,t60,1
62,t61,1
63,t62,1
64,t63,1
65,t64,1
66,t65,1
67,t66,1
68,t67,1
69,t68,1
70,t69,1
71,t70,1
72,t71,1
73,t72,1
74,t73,1
75,t74,1
76,t75,1
77,t76,1
78,t77,1
79,t78,1
80,t79,1
81,t80,1
82,t81,1
83,t82,1
84,t83,1
85,t84,1
86,t85,1
87,t86,1
88,t87,1
89,t88,1
90,t89,1
91,t90,1
92,t91,1
93,t92,1
94,t93,1
95,t94,1
96,t95,1
97,t96,1
98,t97,1
99,t98,1
100,t99,1
101,t100,1
102,t101,1
103,t102,1
104,t103,1
105,t104,1
106,t105,1
107,t106,1
108,t107,1
109,t108,1
110,t109,1
111,t110,1
112,t111,1
113,t112,1
114,t113,1
115,t114,1
116,t115,1
117,t116,1
118,t117,1
119,t118,1
120,t119,1
121,t120,1
122,t121,1
123,t122,1
124,t123,1
125,t124,1
126,t125,1
127,t126,1
128,t127,1
129,t128,1
130,t129,1
131,t130,1
132,t131,1
133,t132,1
134,t133,1
135,t134,1
136,t135,1
137,t136,1
138,t137,1
139,t138,1
140,t139,1
141,t140,1
142,t141,1
143,t142,1
144,t143,1
145,t144,1
146,t145,1
147,t146,1
148,t147,1
149,t148,1
150,t149,1
151,t150,1
152,t151,1
153,t152,1
154,t153,1
155,t154,1
156,t155,1
157,t156,1
158,t157,1
159,t158,1
160,t159,1
161,t160,1
162,t161,1
163,t162,1
164,t163,1
165,t164,1
166,t165,1
167,t166,1
168,t167,1
169,t168,1
170,t169,1
171,t170,1
172,t171,1
173,t172,1
174,t173,1
175,t174,1
176,t175,1
177,t176,1
178,t177,1
179,t178,1
180,t179,1
181,t180,1
182,t181,1
183,t182,1
184,t183,1
185,t184,1
186,t185,1
187,t186,1
188,t187,1
189,t188,1
190,t189,1
191,t190,1
192,t191,1
193,t192,1
194,t193,1
195,t194,1
196,t195,1
197,t196,1
198,t197,1
199,t198,1
200,t199,1
201,t200,1
202,t201,1
203,t202,1
204,t203,1
205,t204,1
206,t205,1
207,t206,1
208,t207,1
209,t208,1
210,t209,1
211,t210,1
212,t211,1
213,t212,1
214,t213,1
215,t214,1
216,t215,1
217,t216,1
218,t217,1
219,t218,1
220,t219,1
221,t220,1
222,t221,1
223,t222,1
224,t223,1
225,t224,1
226,t225,1
227,t226,1
228,t227,1
229,t228,1
230,t229,1
231,t230,1
232,t231,1
233,t232,1
234,t233,1
235,t234,1
236,t235,1
237,t236,1
238,t237,1
239,t238,1
240,t239,1
241,t240,1
242,t241,1
243,t242,1
244,t243,1
245,t244,1
246,t245,1
247,t246,1
248,t247,1
249,t248,1
250,t249,1
251,t250,1
252,t251,1
253,t252,1
254,t253,1
255,t254,1
256,t255,1
257,t256,1
258,t257,1
259,t258,1
260,t259,1
261,t260,1
262,t261,1
263,t262,1
264,t263,1
265,t264,1
266,t265,1
267,t266,1
268,t267,1
269,t268,1
270,t269,1
271,t270,1
272,t271,1
273,t272,1
274,t273,1
275,t274,1
276,t275,1
277,t276,1
278,t277,1
279,t278,1
280,t279,1
281,t280,1
282,t281,1
283,t282,1
284,t283,1
285,t284,1
286,t285,1
287,t286,1
288,t287,1
289,t288,1
290,t289,1
291,t290,1
292,t291,1
293,t292,1
294,t293,1
295,t294,1
296,t295,1
297,t296,1
298,t297,1
299,t298,1
300,t299,1
301,t300,1
302,t301,1
303,t302,1
304,t303,1
305,t304,1
306,t305,1
307,t306,1
308,t307,1
309,t308,1
310,t309,1
311,t310,1
312,t311,1
313,t312,1
314,t313,1
315,t314,1
316,t315,1
317,t316,1
318,t317,1
319,t318,1
320,t319,1
321,t320,1
322,t321,1
323,t322,1
324,t323,1
325,t324,1
326,t325,1
327,t326,1
328,t327,1
329,t328,1
330,t329,1
331,t330,1
332,t331,1
333,t332,1
334,t333,1
335,t334,1
336,t335,1
337,t336,1
338,t337,1
339,t338,1
340,t339,1
341,t340,1
342,t341,1
343,t342,1
344,t343,1
345,t344,1
346,t345,1
347,t346,1
348,t347,1
349,t348,1
350,t349,1
351,t350,1
352,t351,1
353,t352,1
354,t353,1
355,t354,1
356,t355,1
357,t356,1
358,t357,1
359,t358,1
360,t359,1
361,t360,1
362,t361,1
363,t362,1
364,t363,1
365,t364,1
366,t365,1
367,t366,1
368,t367,1
369,t368,1
370,t369,1
371,t370,1
372,t371,1
373,t372,1
374,t373,1
375,t374,1
376,t375,1
377,t376,1
378,t377,1
379,t378,1
380,t379,1
381,t380,1
382,t381,1
383,t382,1
384,t383,1
385,t384,1
386,t385,1
387,t386,1
388,t387,1
389,t388,1
390,t389,1
391,t390,1
392,t391,1
393,t392,1
394,t393,1
395,t394,1
396,t395,1
397,t396,1
398,t397,1
399,t398,1
400,t399,1
401,t400,1
402,t401,1
403,t402,1
404,t403,1
405,t404,1
406,t405,1
407,t406,1
408,t407,1
409,t408,1
410,t409,1
411,t410,1
412,t411,1
413,t412,1
414,t413,1
415,t414,1
416,t415,1
417,t416,1
418,t417,1
419,t418,1
420,t419,1
421,t420,1
422,t421,1
423,t422,1
424,t423,1
425,t424,1
426,t425,1
427,t426,1
428,t427,1
429,t428,1
430,t429,1
431,t430,1
432,t431,1
433,t432,1
434,t433,1
435,t434,1
436,t435,1
437,t436,1
438,t437,1
439,t438,1
440,t439,1
441,t440,1
