# RANKING DE NODOS PARA ETIQUETA: isPartOf
# Total de nodos con conexiones salientes: 1454
# Formato: Posición,NodeID,Conexiones_Salientes
# Generado automáticamente desde: MillenniumDB/data/ldbc/01/edges.txt
# ============================================================

1,pL0,1
2,pL1,1
3,pL2,1
4,pL3,1
5,pL4,1
6,pL5,1
7,pL6,1
8,pL7,1
9,pL8,1
10,pL9,1
11,pL10,1
12,pL11,1
13,pL12,1
14,pL13,1
15,pL14,1
16,pL15,1
17,pL16,1
18,pL17,1
19,pL18,1
20,pL19,1
21,pL20,1
22,pL21,1
23,pL22,1
24,pL23,1
25,pL24,1
26,pL25,1
27,pL26,1
28,pL27,1
29,pL28,1
30,pL29,1
31,pL30,1
32,pL31,1
33,pL32,1
34,pL33,1
35,pL34,1
36,pL35,1
37,pL36,1
38,pL37,1
39,pL38,1
40,pL39,1
41,pL40,1
42,pL41,1
43,pL42,1
44,pL43,1
45,pL44,1
46,pL45,1
47,pL46,1
48,pL47,1
49,pL48,1
50,pL49,1
51,pL50,1
52,pL51,1
53,pL52,1
54,pL53,1
55,pL54,1
56,pL55,1
57,pL56,1
58,pL57,1
59,pL58,1
60,pL59,1
61,pL60,1
62,pL61,1
63,pL62,1
64,pL63,1
65,pL64,1
66,pL65,1
67,pL66,1
68,pL67,1
69,pL68,1
70,pL69,1
71,pL70,1
72,pL71,1
73,pL72,1
74,pL73,1
75,pL74,1
76,pL75,1
77,pL76,1
78,pL77,1
79,pL78,1
80,pL79,1
81,pL80,1
82,pL81,1
83,pL82,1
84,pL83,1
85,pL84,1
86,pL85,1
87,pL86,1
88,pL87,1
89,pL88,1
90,pL89,1
91,pL90,1
92,pL91,1
93,pL92,1
94,pL93,1
95,pL94,1
96,pL95,1
97,pL96,1
98,pL97,1
99,pL98,1
100,pL99,1
101,pL100,1
102,pL101,1
103,pL102,1
104,pL103,1
105,pL104,1
106,pL105,1
107,pL106,1
108,pL107,1
109,pL108,1
110,pL109,1
111,pL110,1
112,pL111,1
113,pL112,1
114,pL113,1
115,pL114,1
116,pL115,1
117,pL116,1
118,pL117,1
119,pL118,1
120,pL119,1
121,pL120,1
122,pL121,1
123,pL122,1
124,pL123,1
125,pL124,1
126,pL125,1
127,pL126,1
128,pL127,1
129,pL128,1
130,pL129,1
131,pL130,1
132,pL131,1
133,pL132,1
134,pL133,1
135,pL134,1
136,pL135,1
137,pL136,1
138,pL137,1
139,pL138,1
140,pL139,1
141,pL140,1
142,pL141,1
143,pL142,1
144,pL143,1
145,pL144,1
146,pL145,1
147,pL146,1
148,pL147,1
149,pL148,1
150,pL149,1
151,pL150,1
152,pL151,1
153,pL152,1
154,pL153,1
155,pL154,1
156,pL155,1
157,pL156,1
158,pL157,1
159,pL158,1
160,pL159,1
161,pL160,1
162,pL161,1
163,pL162,1
164,pL163,1
165,pL164,1
166,pL165,1
167,pL166,1
168,pL167,1
169,pL168,1
170,pL169,1
171,pL170,1
172,pL171,1
173,pL172,1
174,pL173,1
175,pL174,1
176,pL175,1
177,pL176,1
178,pL177,1
179,pL178,1
180,pL179,1
181,pL180,1
182,pL181,1
183,pL182,1
184,pL183,1
185,pL184,1
186,pL185,1
187,pL186,1
188,pL187,1
189,pL188,1
190,pL189,1
191,pL190,1
192,pL191,1
193,pL192,1
194,pL193,1
195,pL194,1
196,pL195,1
197,pL196,1
198,pL197,1
199,pL198,1
200,pL199,1
201,pL200,1
202,pL201,1
203,pL202,1
204,pL203,1
205,pL204,1
206,pL205,1
207,pL206,1
208,pL207,1
209,pL208,1
210,pL209,1
211,pL210,1
212,pL211,1
213,pL212,1
214,pL213,1
215,pL214,1
216,pL215,1
217,pL216,1
218,pL217,1
219,pL218,1
220,pL219,1
221,pL220,1
222,pL221,1
223,pL222,1
224,pL223,1
225,pL224,1
226,pL225,1
227,pL226,1
228,pL227,1
229,pL228,1
230,pL229,1
231,pL230,1
232,pL231,1
233,pL232,1
234,pL233,1
235,pL234,1
236,pL235,1
237,pL236,1
238,pL237,1
239,pL238,1
240,pL239,1
241,pL240,1
242,pL241,1
243,pL242,1
244,pL243,1
245,pL244,1
246,pL245,1
247,pL246,1
248,pL247,1
249,pL248,1
250,pL249,1
251,pL250,1
252,pL251,1
253,pL252,1
254,pL253,1
255,pL254,1
256,pL255,1
257,pL256,1
258,pL257,1
259,pL258,1
260,pL259,1
261,pL260,1
262,pL261,1
263,pL262,1
264,pL263,1
265,pL264,1
266,pL265,1
267,pL266,1
268,pL267,1
269,pL268,1
270,pL269,1
271,pL270,1
272,pL271,1
273,pL272,1
274,pL273,1
275,pL274,1
276,pL275,1
277,pL276,1
278,pL277,1
279,pL278,1
280,pL279,1
281,pL280,1
282,pL281,1
283,pL282,1
284,pL283,1
285,pL284,1
286,pL285,1
287,pL286,1
288,pL287,1
289,pL288,1
290,pL289,1
291,pL290,1
292,pL291,1
293,pL292,1
294,pL293,1
295,pL294,1
296,pL295,1
297,pL296,1
298,pL297,1
299,pL298,1
300,pL299,1
301,pL300,1
302,pL301,1
303,pL302,1
304,pL303,1
305,pL304,1
306,pL305,1
307,pL306,1
308,pL307,1
309,pL308,1
310,pL309,1
311,pL310,1
312,pL311,1
313,pL312,1
314,pL313,1
315,pL314,1
316,pL315,1
317,pL316,1
318,pL317,1
319,pL318,1
320,pL319,1
321,pL320,1
322,pL321,1
323,pL322,1
324,pL323,1
325,pL324,1
326,pL325,1
327,pL326,1
328,pL327,1
329,pL328,1
330,pL329,1
331,pL330,1
332,pL331,1
333,pL332,1
334,pL333,1
335,pL334,1
336,pL335,1
337,pL336,1
338,pL337,1
339,pL338,1
340,pL339,1
341,pL340,1
342,pL341,1
343,pL342,1
344,pL343,1
345,pL344,1
346,pL345,1
347,pL346,1
348,pL347,1
349,pL348,1
350,pL349,1
351,pL350,1
352,pL351,1
353,pL352,1
354,pL353,1
355,pL354,1
356,pL355,1
357,pL356,1
358,pL357,1
359,pL358,1
360,pL359,1
361,pL360,1
362,pL361,1
363,pL362,1
364,pL363,1
365,pL364,1
366,pL365,1
367,pL366,1
368,pL367,1
369,pL368,1
370,pL369,1
371,pL370,1
372,pL371,1
373,pL372,1
374,pL373,1
375,pL374,1
376,pL375,1
377,pL376,1
378,pL377,1
379,pL378,1
380,pL379,1
381,pL380,1
382,pL381,1
383,pL382,1
384,pL383,1
385,pL384,1
386,pL385,1
387,pL386,1
388,pL387,1
389,pL388,1
390,pL389,1
391,pL390,1
392,pL391,1
393,pL392,1
394,pL393,1
395,pL394,1
396,pL395,1
397,pL396,1
398,pL397,1
399,pL398,1
400,pL399,1
401,pL400,1
