# RANKING DE NODOS PARA ETIQUETA: knows
# Total de nodos con conexiones salientes: 1199
# Formato: Posición,NodeID,Conexiones_Salientes
# Generado automáticamente desde: MillenniumDB/data/ldbc/01/edges.txt
# ============================================================

1,p1385,243
2,p1336,181
3,p708,106
4,p289,97
5,p350,88
6,p583,87
7,p636,87
8,p598,86
9,p846,78
10,p548,77
11,p565,77
12,p637,77
13,p602,76
14,p428,74
15,p810,70
16,p878,70
17,p458,69
18,p947,69
19,p486,68
20,p207,67
21,p1041,66
22,p941,65
23,p494,62
24,p670,62
25,p604,61
26,p653,61
27,p1263,61
28,p135,60
29,p260,58
30,p595,58
31,p263,56
32,p866,55
33,p1450,53
34,p1477,53
35,p1481,52
36,p1505,52
37,p210,51
38,p733,51
39,p1283,51
40,p1299,50
41,p40,49
42,p446,49
43,p958,49
44,p1386,49
45,p1387,49
46,p1474,49
47,p1178,48
48,p1345,48
49,p378,47
50,p550,47
51,p1156,47
52,p1448,47
53,p671,45
54,p939,45
55,p430,44
56,p635,44
57,p1279,44
58,p333,43
59,p349,43
60,p554,43
61,p643,43
62,p1024,43
63,p1161,43
64,p312,42
65,p366,42
66,p470,42
67,p522,42
68,p893,42
69,p1334,42
70,p275,41
71,p292,41
72,p586,41
73,p256,40
74,p776,40
75,p782,40
76,p1140,40
77,p1463,40
78,p54,39
79,p669,39
80,p744,39
81,p307,38
82,p363,38
83,p1203,38
84,p1389,38
85,p190,37
86,p777,37
87,p114,36
88,p152,36
89,p343,36
90,p1180,36
91,p1434,36
92,p73,35
93,p129,35
94,p221,35
95,p379,35
96,p184,34
97,p336,34
98,p457,34
99,p489,34
100,p558,34
101,p620,34
102,p624,34
103,p1404,34
104,p115,33
105,p405,33
106,p426,33
107,p540,33
108,p896,33
109,p952,33
110,p1125,33
111,p1175,33
112,p35,32
113,p785,32
114,p815,32
115,p830,32
116,p832,32
117,p901,32
118,p1239,32
119,p24,31
120,p354,31
121,p381,31
122,p526,31
123,p827,31
124,p1126,31
125,p1237,31
126,p288,30
127,p394,30
128,p997,30
129,p972,29
130,p1325,29
131,p39,28
132,p146,28
133,p200,28
134,p306,28
135,p1064,28
136,p1078,28
137,p1310,28
138,p1352,28
139,p1425,28
140,p16,27
141,p397,27
142,p509,27
143,p881,27
144,p447,26
145,p697,26
146,p1128,26
147,p1172,26
148,p1330,26
149,p125,25
150,p137,25
151,p188,25
152,p892,25
153,p906,25
154,p1009,25
155,p1082,25
156,p1256,25
157,p1287,25
158,p69,24
159,p74,24
160,p113,24
161,p143,24
162,p321,24
163,p443,24
164,p668,24
165,p938,24
166,p960,24
167,p1333,24
168,p1353,24
169,p70,23
170,p76,23
171,p196,23
172,p237,23
173,p616,23
174,p783,23
175,p991,23
176,p103,22
177,p407,22
178,p477,22
179,p849,22
180,p926,22
181,p940,22
182,p1133,22
183,p1235,22
184,p1303,22
185,p38,21
186,p50,21
187,p197,21
188,p245,21
189,p512,21
190,p698,21
191,p723,21
192,p961,21
193,p1037,21
194,p1046,21
195,p1100,21
196,p1343,21
197,p1362,21
198,p1406,21
199,p1424,21
200,p91,20
201,p216,20
202,p339,20
203,p384,20
204,p409,20
205,p427,20
206,p629,20
207,p695,20
208,p724,20
209,p726,20
210,p753,20
211,p1015,20
212,p1053,20
213,p1124,20
214,p1236,20
215,p1447,20
216,p26,19
217,p341,19
218,p393,19
219,p431,19
220,p589,19
221,p626,19
222,p898,19
223,p1049,19
224,p1050,19
225,p1159,19
226,p1231,19
227,p1271,19
228,p1464,19
229,p1485,19
230,p1491,19
231,p1516,19
232,p167,18
233,p171,18
234,p261,18
235,p445,18
236,p472,18
237,p538,18
238,p882,18
239,p998,18
240,p1130,18
241,p1254,18
242,p1339,18
243,p13,17
244,p37,17
245,p71,17
246,p78,17
247,p155,17
248,p204,17
249,p471,17
250,p681,17
251,p837,17
252,p883,17
253,p894,17
254,p913,17
255,p932,17
256,p1127,17
257,p1207,17
258,p1409,17
259,p1421,17
260,p1513,17
261,p45,16
262,p112,16
263,p351,16
264,p367,16
265,p623,16
266,p660,16
267,p824,16
268,p971,16
269,p1164,16
270,p1204,16
271,p1245,16
272,p1503,16
273,p1511,16
274,p94,15
275,p201,15
276,p276,15
277,p342,15
278,p418,15
279,p438,15
280,p497,15
281,p725,15
282,p741,15
283,p781,15
284,p859,15
285,p989,15
286,p990,15
287,p999,15
288,p1226,15
289,p1436,15
290,p1484,15
291,p1486,15
292,p279,14
293,p444,14
294,p450,14
295,p455,14
296,p456,14
297,p466,14
298,p518,14
299,p524,14
300,p617,14
301,p644,14
302,p700,14
303,p701,14
304,p795,14
305,p951,14
306,p1070,14
307,p1165,14
308,p1170,14
309,p1173,14
310,p1221,14
311,p1292,14
312,p1509,14
313,p20,13
314,p100,13
315,p102,13
316,p157,13
317,p266,13
318,p369,13
319,p417,13
320,p582,13
321,p594,13
322,p619,13
323,p622,13
324,p706,13
325,p715,13
326,p731,13
327,p751,13
328,p812,13
329,p914,13
330,p928,13
331,p937,13
332,p1012,13
333,p1026,13
334,p1045,13
335,p1098,13
336,p1157,13
337,p1220,13
338,p1285,13
339,p1302,13
340,p1418,13
341,p1446,13
342,p8,12
343,p126,12
344,p141,12
345,p174,12
346,p205,12
347,p368,12
348,p371,12
349,p395,12
350,p396,12
351,p414,12
352,p434,12
353,p536,12
354,p680,12
355,p717,12
356,p828,12
357,p833,12
358,p931,12
359,p1072,12
360,p1117,12
361,p1506,12
362,p1507,12
363,p3,11
364,p36,11
365,p77,11
366,p117,11
367,p195,11
368,p264,11
369,p301,11
370,p382,11
371,p416,11
372,p429,11
373,p571,11
374,p572,11
375,p648,11
376,p728,11
377,p786,11
378,p852,11
379,p943,11
380,p954,11
381,p1047,11
382,p1136,11
383,p1150,11
384,p1214,11
385,p1288,11
386,p1300,11
387,p1307,11
388,p1338,11
389,p1414,11
390,p1466,11
391,p44,10
392,p87,10
393,p90,10
394,p95,10
395,p163,10
396,p173,10
397,p402,10
398,p491,10
399,p532,10
400,p553,10
401,p614,10
402,p634,10
403,p675,10
404,p734,10
405,p787,10
406,p809,10
407,p870,10
408,p945,10
409,p982,10
410,p1044,10
411,p1056,10
412,p1083,10
413,p1135,10
414,p1149,10
415,p1224,10
416,p1242,10
417,p1295,10
418,p1326,10
419,p1455,10
420,p1465,10
421,p1483,10
422,p1514,10
423,p1518,10
424,p99,9
425,p110,9
426,p160,9
427,p191,9
428,p262,9
429,p295,9
430,p298,9
431,p315,9
432,p335,9
433,p432,9
434,p442,9
435,p504,9
436,p508,9
437,p529,9
438,p546,9
439,p576,9
440,p605,9
441,p642,9
442,p719,9
443,p749,9
444,p763,9
445,p779,9
446,p856,9
447,p876,9
448,p885,9
449,p900,9
450,p933,9
451,p1003,9
452,p1017,9
453,p1069,9
454,p1084,9
455,p1154,9
456,p1160,9
457,p1270,9
458,p1405,9
459,p1411,9
460,p1453,9
461,p1495,9
462,p1517,9
463,p15,8
464,p17,8
465,p42,8
466,p111,8
467,p147,8
468,p165,8
469,p183,8
470,p214,8
471,p218,8
472,p257,8
473,p383,8
474,p451,8
475,p475,8
476,p505,8
477,p569,8
478,p663,8
479,p674,8
480,p686,8
481,p702,8
482,p745,8
483,p799,8
484,p923,8
485,p974,8
486,p1042,8
487,p1052,8
488,p1116,8
489,p1162,8
490,p1174,8
491,p1230,8
492,p1327,8
493,p1328,8
494,p1332,8
495,p1379,8
496,p1478,8
497,p1512,8
498,p1,7
499,p29,7
500,p55,7
501,p75,7
502,p81,7
503,p128,7
504,p138,7
505,p176,7
506,p233,7
507,p246,7
508,p340,7
509,p361,7
510,p404,7
511,p408,7
512,p588,7
513,p591,7
514,p647,7
515,p655,7
516,p673,7
517,p712,7
518,p722,7
519,p732,7
520,p757,7
521,p803,7
522,p836,7
523,p839,7
524,p872,7
525,p877,7
526,p880,7
527,p907,7
528,p944,7
