# RANKING DE NODOS PARA ETIQUETA: likes
# Total de nodos con conexiones salientes: 1440
# Formato: Posición,NodeID,Conexiones_Salientes
# Generado automáticamente desde: MillenniumDB/data/ldbc/01/edges.txt
# ============================================================

1,p846,1108
2,p947,883
3,p1336,814
4,p1385,707
5,p1501,698
6,p1263,615
7,p1170,551
8,p1050,494
9,p494,410
10,p129,390
11,p210,380
12,p1345,358
13,p708,344
14,p1041,335
15,p958,328
16,p583,327
17,p1505,316
18,p598,316
19,p343,310
20,p604,307
21,p196,306
22,p624,306
23,p586,304
24,p477,299
25,p350,298
26,p671,298
27,p289,296
28,p1178,291
29,p446,291
30,p207,291
31,p458,288
32,p1161,285
33,p1231,284
34,p216,281
35,p670,281
36,p409,280
37,p810,280
38,p1180,275
39,p554,274
40,p636,274
41,p602,274
42,p643,273
43,p991,271
44,p1481,268
45,p378,267
46,p115,266
47,p354,265
48,p76,258
49,p1450,257
50,p558,257
51,p1477,256
52,p548,252
53,p629,250
54,p1513,248
55,p135,243
56,p1425,243
57,p815,242
58,p312,242
59,p470,242
60,p933,240
61,p363,239
62,p381,239
63,p1330,238
64,p54,237
65,p40,237
66,p540,232
67,p637,232
68,p366,231
69,p20,231
70,p114,231
71,p237,230
72,p428,228
73,p486,228
74,p1434,224
75,p941,224
76,p394,224
77,p447,223
78,p1049,223
79,p653,222
80,p263,222
81,p1214,222
82,p648,222
83,p546,222
84,p1133,219
85,p260,219
86,p1448,219
87,p214,219
88,p410,218
89,p589,218
90,p526,217
91,p384,216
92,p430,216
93,p901,214
94,p146,214
95,p614,212
96,p1514,211
97,p785,210
98,p896,209
99,p74,208
100,p712,208
101,p565,206
102,p595,202
103,p961,201
104,p878,200
105,p292,197
106,p1485,197
107,p733,196
108,p164,195
109,p453,194
110,p184,193
111,p73,193
112,p221,192
113,p1524,192
114,p1424,192
115,p913,192
116,p782,190
117,p1136,189
118,p39,188
119,p1334,187
120,p893,187
121,p669,186
122,p634,186
123,p1112,185
124,p866,183
125,p405,183
126,p1310,183
127,p349,182
128,p512,181
129,p438,181
130,p917,180
131,p397,180
132,p744,179
133,p1386,178
134,p620,178
135,p1015,177
136,p407,177
137,p45,176
138,p1343,176
139,p188,176
140,p1056,175
141,p686,174
142,p837,174
143,p550,173
144,p898,173
145,p932,172
146,p1156,172
147,p336,172
148,p576,171
149,p466,171
150,p416,171
151,p719,171
152,p77,170
153,p1130,170
154,p388,170
155,p333,169
156,p197,168
157,p1128,168
158,p753,168
159,p1175,168
160,p706,167
161,p1503,167
162,p1021,167
163,p660,166
164,p1389,165
165,p47,165
166,p777,164
167,p489,164
168,p623,164
169,p1188,164
170,p1203,164
171,p1299,163
172,p776,163
173,p581,162
174,p1046,162
175,p241,162
