# RANKING DE NODOS PARA ETIQUETA: replyOf
# Total de nodos con conexiones salientes: 151043
# Formato: Posición,NodeID,Conexiones_Salientes
# Generado automáticamente desde: MillenniumDB/data/ldbc/01/edges.txt
# ============================================================

1,m135710,1
2,m135711,1
3,m135712,1
4,m135713,1
5,m135714,1
6,m135717,1
7,m135719,1
8,m135726,1
9,m135728,1
10,m135732,1
11,m135734,1
12,m135740,1
13,m135741,1
14,m135743,1
15,m135744,1
16,m135745,1
17,m135746,1
18,m135747,1
19,m135749,1
20,m135750,1
21,m135751,1
22,m135756,1
23,m135759,1
24,m135760,1
25,m135761,1
26,m135762,1
27,m135763,1
28,m135764,1
29,m135765,1
30,m135768,1
31,m135770,1
32,m135771,1
33,m135779,1
34,m135780,1
35,m135781,1
36,m135783,1
37,m135784,1
38,m135785,1
39,m135787,1
40,m135792,1
41,m135793,1
42,m135794,1
43,m135796,1
44,m135797,1
45,m135799,1
46,m135800,1
47,m135801,1
48,m135808,1
49,m135809,1
50,m135810,1
51,m135811,1
52,m135814,1
53,m135817,1
54,m135820,1
55,m135830,1
56,m135832,1
57,m135834,1
58,m135840,1
59,m135841,1
60,m135842,1
61,m135843,1
62,m135844,1
63,m135848,1
64,m135849,1
65,m135850,1
66,m135851,1
67,m135852,1
68,m135853,1
69,m135858,1
70,m135859,1
71,m135861,1
72,m135862,1
73,m135868,1
74,m135869,1
75,m135871,1
76,m135872,1
77,m135873,1
78,m135874,1
79,m135876,1
80,m135877,1
81,m135879,1
82,m135880,1
83,m135881,1
84,m135884,1
85,m135885,1
86,m135889,1
87,m135892,1
88,m135893,1
89,m135895,1
90,m135896,1
91,m135897,1
92,m135900,1
93,m135901,1
94,m135902,1
95,m135905,1
96,m135906,1
97,m135907,1
98,m135914,1
99,m135915,1
100,m135928,1
101,m135929,1
102,m135930,1
103,m135931,1
104,m135932,1
105,m135933,1
106,m135934,1
107,m135935,1
108,m135937,1
109,m135942,1
110,m135944,1
111,m135948,1
112,m135950,1
113,m135952,1
114,m135953,1
115,m135955,1
116,m135956,1
117,m135957,1
118,m135958,1
119,m135960,1
120,m135964,1
121,m135967,1
122,m135968,1
123,m135972,1
124,m135973,1
125,m135975,1
126,m135982,1
127,m135983,1
128,m135984,1
129,m135988,1
130,m135989,1
131,m135993,1
132,m135999,1
133,m136000,1
134,m136001,1
135,m136002,1
136,m136004,1
137,m136005,1
138,m136008,1
139,m136009,1
140,m136012,1
141,m136016,1
142,m136017,1
143,m136019,1
144,m136028,1
145,m136029,1
146,m136032,1
147,m136033,1
148,m136034,1
149,m136038,1
150,m136041,1
151,m136045,1
152,m136052,1
153,m136054,1
154,m136055,1
155,m136056,1
156,m136057,1
157,m136058,1
158,m136060,1
159,m136061,1
160,m136063,1
161,m136064,1
162,m136065,1
163,m136070,1
164,m136072,1
165,m136073,1
166,m136074,1
167,m136075,1
168,m136076,1
169,m136077,1
170,m136078,1
171,m136079,1
172,m136080,1
173,m136095,1
174,m136096,1
175,m136097,1
176,m136098,1
177,m136099,1
178,m136100,1
179,m136101,1
180,m136105,1
181,m136108,1
182,m136109,1
183,m136111,1
184,m136112,1
185,m136113,1
186,m136114,1
