# RANKING DE NODOS PARA ETIQUETA: studyAt
# Total de nodos con conexiones salientes: 1209
# Formato: Posición,NodeID,Conexiones_Salientes
# Generado automáticamente desde: MillenniumDB/data/ldbc/01/edges.txt
# ============================================================

1,p0,1
2,p1,1
3,p3,1
4,p4,1
5,p5,1
6,p6,1
7,p7,1
8,p8,1
9,p10,1
10,p11,1
11,p12,1
12,p14,1
13,p16,1
14,p17,1
15,p18,1
16,p19,1
17,p21,1
18,p26,1
19,p27,1
20,p28,1
21,p30,1
22,p31,1
23,p32,1
24,p33,1
25,p34,1
26,p37,1
27,p38,1
28,p39,1
29,p40,1
30,p43,1
31,p44,1
32,p45,1
33,p46,1
34,p47,1
35,p48,1
36,p49,1
37,p50,1
38,p51,1
39,p52,1
40,p53,1
41,p54,1
42,p55,1
43,p57,1
44,p58,1
45,p59,1
46,p61,1
47,p62,1
48,p64,1
49,p65,1
50,p66,1
51,p67,1
52,p68,1
53,p70,1
54,p71,1
55,p72,1
56,p73,1
57,p75,1
58,p76,1
59,p77,1
60,p79,1
61,p80,1
62,p81,1
63,p82,1
64,p84,1
65,p85,1
66,p86,1
67,p87,1
68,p88,1
69,p89,1
70,p90,1
71,p91,1
72,p92,1
73,p93,1
74,p94,1
75,p95,1
76,p96,1
77,p97,1
78,p98,1
79,p99,1
80,p100,1
81,p101,1
82,p102,1
83,p103,1
84,p104,1
85,p105,1
86,p106,1
87,p107,1
88,p109,1
89,p111,1
90,p112,1
91,p113,1
92,p114,1
93,p115,1
94,p116,1
95,p117,1
96,p120,1
97,p122,1
98,p123,1
99,p126,1
100,p127,1
101,p128,1
102,p130,1
103,p131,1
104,p132,1
105,p135,1
106,p136,1
107,p137,1
108,p138,1
109,p139,1
110,p140,1
111,p141,1
112,p142,1
113,p143,1
114,p144,1
115,p146,1
116,p147,1
117,p148,1
118,p149,1
119,p151,1
120,p152,1
121,p154,1
122,p155,1
123,p156,1
124,p159,1
125,p160,1
126,p161,1
127,p162,1
128,p163,1
129,p165,1
130,p167,1
131,p168,1
132,p169,1
133,p171,1
134,p172,1
135,p174,1
136,p175,1
137,p176,1
138,p178,1
139,p179,1
140,p180,1
141,p181,1
142,p182,1
143,p183,1
144,p185,1
145,p186,1
146,p187,1
147,p188,1
148,p191,1
149,p192,1
150,p193,1
151,p194,1
152,p195,1
153,p196,1
154,p197,1
155,p198,1
156,p199,1
157,p201,1
158,p202,1
159,p203,1
160,p204,1
161,p205,1
162,p206,1
163,p208,1
164,p209,1
165,p210,1
166,p211,1
167,p212,1
168,p213,1
169,p214,1
170,p216,1
171,p217,1
172,p218,1
173,p219,1
174,p221,1
175,p222,1
176,p223,1
177,p225,1
178,p228,1
179,p229,1
180,p232,1
181,p233,1
182,p234,1
183,p235,1
184,p236,1
185,p237,1
186,p238,1
187,p240,1
188,p241,1
189,p242,1
190,p244,1
191,p245,1
192,p246,1
193,p247,1
194,p248,1
195,p250,1
196,p251,1
197,p252,1
198,p255,1
199,p256,1
200,p257,1
201,p258,1
202,p260,1
203,p261,1
204,p262,1
205,p263,1
206,p264,1
207,p265,1
208,p266,1
209,p268,1
210,p269,1
211,p270,1
212,p271,1
213,p272,1
214,p273,1
215,p274,1
216,p275,1
217,p278,1
218,p280,1
219,p282,1
220,p283,1
221,p284,1
222,p285,1
223,p287,1
224,p288,1
225,p289,1
226,p290,1
227,p291,1
228,p292,1
229,p293,1
230,p294,1
231,p295,1
232,p296,1
233,p297,1
234,p299,1
235,p301,1
236,p302,1
237,p303,1
238,p304,1
239,p305,1
240,p306,1
241,p307,1
242,p308,1
243,p309,1
244,p311,1
245,p314,1
246,p315,1
247,p317,1
248,p318,1
249,p319,1
250,p320,1
251,p321,1
252,p322,1
253,p323,1
254,p324,1
255,p325,1
256,p327,1
257,p328,1
258,p329,1
259,p330,1
260,p331,1
261,p332,1
262,p333,1
263,p334,1
264,p335,1
265,p338,1
266,p339,1
267,p340,1
268,p341,1
269,p342,1
270,p346,1
271,p347,1
272,p349,1
273,p350,1
274,p351,1
275,p352,1
276,p353,1
277,p354,1
278,p355,1
279,p356,1
280,p357,1
281,p358,1
282,p360,1
283,p361,1
284,p363,1
285,p364,1
286,p365,1
287,p366,1
288,p368,1
289,p369,1
290,p370,1
291,p371,1
292,p372,1
293,p373,1
294,p374,1
295,p375,1
296,p376,1
297,p379,1
298,p380,1
299,p381,1
300,p383,1
301,p384,1
302,p385,1
303,p387,1
304,p388,1
305,p390,1
306,p391,1
307,p392,1
308,p393,1
309,p396,1
310,p397,1
311,p398,1
312,p399,1
313,p400,1
314,p401,1
315,p402,1
316,p403,1
317,p404,1
318,p405,1
319,p407,1
320,p408,1
321,p409,1
322,p410,1
323,p411,1
324,p412,1
325,p415,1
326,p416,1
327,p417,1
328,p418,1
329,p419,1
330,p420,1
331,p421,1
