# RANKING DE NODOS PARA ETIQUETA: workAt
# Total de nodos con conexiones salientes: 1207
# Formato: Posición,NodeID,Conexiones_Salientes
# Generado automáticamente desde: MillenniumDB/data/ldbc/01/edges.txt
# ============================================================

1,p19,5
2,p36,5
3,p43,5
4,p66,5
5,p73,5
6,p82,5
7,p87,5
8,p122,5
9,p123,5
10,p137,5
11,p145,5
12,p147,5
13,p169,5
14,p175,5
15,p184,5
16,p190,5
17,p200,5
18,p217,5
19,p248,5
20,p252,5
21,p257,5
22,p278,5
23,p279,5
24,p281,5
25,p283,5
26,p290,5
27,p314,5
28,p336,5
29,p355,5
30,p360,5
31,p377,5
32,p436,5
33,p441,5
34,p453,5
35,p466,5
36,p503,5
37,p530,5
38,p532,5
39,p552,5
40,p583,5
41,p592,5
42,p600,5
43,p604,5
44,p632,5
45,p639,5
46,p642,5
47,p651,5
48,p655,5
49,p671,5
50,p672,5
51,p682,5
52,p683,5
53,p708,5
54,p725,5
55,p760,5
56,p790,5
57,p820,5
58,p832,5
59,p846,5
60,p859,5
61,p862,5
62,p873,5
63,p894,5
64,p902,5
65,p910,5
66,p914,5
67,p919,5
68,p922,5
69,p923,5
70,p927,5
71,p938,5
72,p944,5
73,p958,5
74,p975,5
75,p990,5
76,p993,5
77,p994,5
78,p998,5
79,p1023,5
80,p1034,5
81,p1044,5
82,p1052,5
83,p1076,5
84,p1084,5
85,p1086,5
86,p1092,5
87,p1110,5
88,p1122,5
89,p1135,5
90,p1136,5
91,p1137,5
92,p1141,5
93,p1147,5
94,p1156,5
95,p1195,5
96,p1206,5
97,p1207,5
98,p1217,5
99,p1229,5
100,p1265,5
101,p1278,5
102,p1283,5
103,p1292,5
104,p1299,5
105,p1308,5
106,p1319,5
107,p1320,5
108,p1332,5
109,p1333,5
110,p1343,5
111,p1359,5
112,p1360,5
113,p1366,5
114,p1368,5
115,p1378,5
116,p1391,5
117,p1394,5
118,p1412,5
119,p1415,5
120,p1434,5
121,p1443,5
122,p1444,5
123,p1450,5
124,p1469,5
125,p1505,5
126,p1506,5
127,p1510,5
128,p1511,5
129,p1517,5
130,p3,4
131,p4,4
132,p9,4
133,p22,4
134,p27,4
135,p33,4
136,p34,4
137,p39,4
138,p46,4
139,p52,4
140,p54,4
141,p56,4
142,p59,4
143,p60,4
144,p62,4
145,p63,4
146,p70,4
147,p81,4
148,p83,4
149,p86,4
150,p88,4
151,p98,4
152,p99,4
153,p106,4
154,p109,4
155,p112,4
156,p116,4
157,p119,4
158,p129,4
159,p130,4
160,p149,4
161,p160,4
162,p162,4
163,p186,4
164,p189,4
165,p201,4
166,p203,4
167,p213,4
168,p214,4
169,p222,4
170,p238,4
171,p240,4
172,p251,4
173,p258,4
174,p267,4
175,p273,4
176,p275,4
177,p293,4
178,p296,4
179,p299,4
180,p300,4
181,p301,4
182,p302,4
183,p304,4
184,p312,4
185,p316,4
186,p321,4
187,p323,4
188,p327,4
189,p334,4
190,p341,4
191,p346,4
192,p359,4
193,p361,4
194,p373,4
195,p382,4
196,p385,4
197,p387,4
198,p394,4
199,p401,4
200,p412,4
201,p423,4
202,p424,4
203,p443,4
204,p448,4
205,p463,4
206,p487,4
207,p490,4
208,p491,4
209,p497,4
210,p501,4
211,p505,4
212,p508,4
213,p511,4
214,p516,4
215,p517,4
216,p519,4
217,p524,4
218,p525,4
219,p531,4
220,p534,4
221,p542,4
222,p545,4
223,p546,4
224,p551,4
225,p561,4
226,p562,4
227,p568,4
228,p576,4
229,p577,4
230,p597,4
231,p598,4
232,p601,4
233,p610,4
234,p623,4
235,p628,4
236,p633,4
237,p654,4
238,p668,4
239,p670,4
240,p688,4
241,p711,4
242,p715,4
243,p716,4
244,p720,4
245,p728,4
246,p735,4
247,p739,4
248,p748,4
249,p749,4
250,p757,4
251,p759,4
252,p763,4
253,p764,4
254,p766,4
255,p767,4
256,p773,4
257,p775,4
258,p776,4
259,p786,4
260,p787,4
261,p788,4
262,p810,4
263,p813,4
264,p826,4
265,p828,4
266,p834,4
267,p837,4
268,p845,4
269,p865,4
270,p870,4
271,p872,4
272,p875,4
273,p881,4
274,p882,4
275,p887,4
276,p913,4
277,p928,4
278,p931,4
279,p940,4
280,p941,4
281,p966,4
282,p967,4
283,p974,4
284,p977,4
285,p989,4
286,p992,4
287,p997,4
288,p1001,4
289,p1003,4
290,p1010,4
291,p1031,4
292,p1042,4
293,p1047,4
294,p1053,4
295,p1071,4
296,p1082,4
297,p1087,4
298,p1089,4
299,p1090,4
300,p1119,4
301,p1128,4
302,p1129,4
303,p1132,4
304,p1144,4
305,p1148,4
306,p1158,4
307,p1174,4
308,p1179,4
309,p1186,4
310,p1187,4
311,p1194,4
